ITTER107;Territorio;TIPO_DATO15;Funzioni biometriche;SEXISTAT1;Sesso;ETA1;Età e classi di età;TIME;Seleziona periodo;Value;Flag Codes;Flags
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1974;1974;1.28111;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1975;1975;1.22785;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1976;1976;1.18947;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1977;1977;1.2011;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1978;1978;1.15837;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1979;1979;1.15832;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1980;1980;1.21224;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1981;1981;1.14028;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1982;1982;1.07065;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1983;1983;0.91765;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1984;1984;0.9111;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1985;1985;0.90408;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1986;1986;0.9157;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1987;1987;0.89758;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1988;1988;0.86238;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1989;1989;0.81415;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1990;1990;0.79193;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1991;1991;0.7809;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1992;1992;0.84961;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1993;1993;0.86606;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1994;1994;0.84612;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1995;1995;0.776;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1996;1996;0.76061;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1997;1997;0.73356;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1998;1998;0.73832;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;1999;1999;0.67527;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2000;2000;0.68992;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2001;2001;0.62283;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2002;2002;0.57524;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2003;2003;0.5038;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2004;2004;0.48611;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2005;2005;0.46996;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2006;2006;0.46728;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2007;2007;0.46747;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2008;2008;0.46467;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2009;2009;0.44656;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2010;2010;0.41643;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2011;2011;0.40703;;
IT;Italia;PROBDEATH;probabilità di morte (per 1.000) - qx;2;femmine;Y10-14;10-14 anni;2012;2012;0.40728;;
