"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1974","1974",485849,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1975","1975",486443,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1976","1976",487421,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1977","1977",488147,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1978","1978",489001,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1979","1979",489703,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1980","1980",490383,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1981","1981",491049,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1982","1982",491945,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1983","1983",492446,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1984","1984",492942,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1985","1985",493272,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1986","1986",493503,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1987","1987",493867,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1988","1988",494304,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1989","1989",494502,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1990","1990",494896,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1991","1991",494928,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1992","1992",495128,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1993","1993",495189,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1994","1994",495406,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1995","1995",495723,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1996","1996",496069,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1997","1997",496277,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1998","1998",496423,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","1999","1999",496684,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2000","2000",496990,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2001","2001",497134,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2002","2002",497313,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2003","2003",497457,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2004","2004",497662,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2005","2005",497782,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2006","2006",497868,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2007","2007",497952,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2008","2008",498013,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2009","2009",497986,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2010","2010",497991,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2011","2011",498022,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2012","2012",498093,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2013","2013",498097,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2014","2014",498119,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2015","2015",498119,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2016","2016",498152,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2017","2017",498178,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2018","2018",498168,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2019","2019",498236,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y5-9","5-9 years","2020","2020",498333,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1974","1974",485034,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1975","1975",485658,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1976","1976",486661,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1977","1977",487390,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1978","1978",488268,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1979","1979",488997,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1980","1980",489673,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1981","1981",490385,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1982","1982",491307,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1983","1983",491872,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1984","1984",492381,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1985","1985",492721,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1986","1986",492962,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1987","1987",493347,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1988","1988",493820,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1989","1989",494047,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1990","1990",494457,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1991","1991",494487,,
